Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-23,04:45,13:30,19:15,20:33,22:00
,02-May-23,04:45,13:30,19:15,20:34,22:00
,03-May-23,04:45,13:30,19:15,20:36,22:00
,04-May-23,04:45,13:30,19:15,20:37,22:00
,05-May-23,04:30,13:30,19:15,20:39,22:10
,06-May-23,04:30,13:30,19:15,20:41,22:10
,07-May-23,04:30,13:30,19:15,20:42,22:10
,08-May-23,04:30,13:30,19:15,20:44,22:10
,09-May-23,04:30,13:30,19:15,20:45,22:10
,10-May-23,04:30,13:30,19:15,20:47,22:10
,11-May-23,04:30,13:30,19:15,20:49,22:10
,12-May-23,04:30,13:30,19:15,20:50,22:20
,13-May-23,04:30,13:30,19:15,20:52,22:20
,14-May-23,04:30,13:30,19:15,20:53,22:20
,15-May-23,04:30,13:30,19:15,20:55,22:20
,16-May-23,04:30,13:30,19:15,20:56,22:20
,17-May-23,04:30,13:30,19:15,20:58,22:20
,18-May-23,04:30,13:30,19:15,20:59,22:20
,19-May-23,04:15,13:30,19:15,21:00,22:30
,20-May-23,04:15,13:30,19:15,21:02,22:30
,21-May-23,04:15,13:30,19:15,21:03,22:30
,22-May-23,04:15,13:30,19:15,21:05,22:30
,23-May-23,04:15,13:30,19:15,21:06,22:30
,24-May-23,04:15,13:30,19:15,21:07,22:30
,25-May-23,04:15,13:30,19:15,21:09,22:30
,26-May-23,04:15,13:30,19:15,21:10,22:45
,27-May-23,04:15,13:30,19:15,21:11,22:45
,28-May-23,04:15,13:30,19:15,21:12,22:45
,29-May-23,04:15,13:30,19:15,21:13,22:45
,30-May-23,04:15,13:30,19:15,21:15,22:45
,31-May-23,04:15,13:30,19:15,21:16,22:45
