Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:00,18:46,20:30
,02-Oct-22,06:15,13:30,17:00,18:44,20:30
,03-Oct-22,06:15,13:30,17:00,18:41,20:30
,04-Oct-22,06:15,13:30,17:00,18:39,20:30
,05-Oct-22,06:15,13:30,17:00,18:37,20:30
,06-Oct-22,06:15,13:30,17:00,18:35,20:30
,07-Oct-22,06:15,13:30,17:00,18:32,20:30
,08-Oct-22,06:30,13:30,16:45,18:30,20:15
,09-Oct-22,06:30,13:30,16:45,18:28,20:15
,10-Oct-22,06:30,13:30,16:45,18:26,20:15
,11-Oct-22,06:30,13:30,16:45,18:24,20:15
,12-Oct-22,06:30,13:30,16:45,18:21,20:15
,13-Oct-22,06:30,13:30,16:45,18:19,20:15
,14-Oct-22,06:30,13:30,16:45,18:17,20:15
,15-Oct-22,06:45,13:30,16:30,18:15,20:00
,16-Oct-22,06:45,13:30,16:30,18:13,20:00
,17-Oct-22,06:45,13:30,16:30,18:11,20:00
,18-Oct-22,06:45,13:30,16:30,18:09,20:00
,19-Oct-22,06:45,13:30,16:30,18:07,20:00
,20-Oct-22,06:45,13:30,16:30,18:04,20:00
,21-Oct-22,06:45,13:30,16:30,18:02,20:00
,22-Oct-22,06:45,13:30,16:15,18:00,19:45
,23-Oct-22,06:45,13:30,16:15,17:58,19:45
,24-Oct-22,06:45,13:30,16:15,17:56,19:45
,25-Oct-22,06:45,13:30,16:15,17:54,19:45
,26-Oct-22,06:45,13:30,16:15,17:52,19:45
,27-Oct-22,06:45,13:30,16:15,17:50,19:45
,28-Oct-22,06:45,13:30,16:15,17:49,19:45
,29-Oct-22,06:45,13:30,16:15,17:47,19:45
,30-Oct-22,06:00,13:00,15:00,16:45,19:30
,31-Oct-22,06:00,13:00,15:00,16:43,19:30
