Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-23,07:00,13:00,14:45,16:10,19:30
,02-Jan-23,07:00,13:00,14:45,16:11,19:30
,03-Jan-23,07:00,13:00,14:45,16:13,19:30
,04-Jan-23,07:00,13:00,14:45,16:14,19:30
,05-Jan-23,07:00,13:00,14:45,16:15,19:30
,06-Jan-23,07:00,13:00,14:45,16:16,19:30
,07-Jan-23,06:45,13:00,15:00,16:18,19:30
,08-Jan-23,06:45,13:00,15:00,16:19,19:30
,09-Jan-23,06:45,13:00,15:00,16:20,19:30
,10-Jan-23,06:45,13:00,15:00,16:22,19:30
,11-Jan-23,06:45,13:00,15:00,16:23,19:30
,12-Jan-23,06:45,13:00,15:00,16:25,19:30
,13-Jan-23,06:45,13:00,15:00,16:26,19:30
,14-Jan-23,06:45,13:00,15:15,16:28,19:30
,15-Jan-23,06:45,13:00,15:15,16:29,19:30
,16-Jan-23,06:45,13:00,15:15,16:31,19:30
,17-Jan-23,06:45,13:00,15:15,16:32,19:30
,18-Jan-23,06:45,13:00,15:15,16:34,19:30
,19-Jan-23,06:45,13:00,15:15,16:36,19:30
,20-Jan-23,06:45,13:00,15:15,16:37,19:30
,21-Jan-23,06:45,13:00,15:15,16:39,19:30
,22-Jan-23,06:45,13:00,15:15,16:41,19:30
,23-Jan-23,06:45,13:00,15:15,16:42,19:30
,24-Jan-23,06:45,13:00,15:15,16:44,19:30
,25-Jan-23,06:45,13:00,15:15,16:46,19:30
,26-Jan-23,06:45,13:00,15:15,16:48,19:30
,27-Jan-23,06:45,13:00,15:15,16:49,19:30
,28-Jan-23,06:30,13:00,15:30,16:51,19:30
,29-Jan-23,06:30,13:00,15:30,16:53,19:30
,30-Jan-23,06:30,13:00,15:30,16:55,19:30
,31-Jan-23,06:30,13:00,15:30,16:57,19:30
