Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,05:45,13:00,16:15,17:46,19:30
,02-Mar-23,05:45,13:00,16:15,17:48,19:30
,03-Mar-23,05:45,13:00,16:30,17:50,19:30
,04-Mar-23,05:45,13:00,16:30,17:52,19:30
,05-Mar-23,05:30,13:00,16:30,17:53,19:30
,06-Mar-23,05:30,13:00,16:30,17:55,19:30
,07-Mar-23,05:30,13:00,16:30,17:57,19:30
,08-Mar-23,05:30,13:00,16:30,17:59,19:30
,09-Mar-23,05:30,13:00,16:30,18:00,19:30
,10-Mar-23,05:30,13:00,16:45,18:02,19:45
,11-Mar-23,05:30,13:00,16:45,18:04,19:45
,12-Mar-23,05:15,13:00,16:45,18:05,19:45
,13-Mar-23,05:15,13:00,16:45,18:07,19:45
,14-Mar-23,05:15,13:00,16:45,18:09,19:45
,15-Mar-23,05:15,13:00,16:45,18:11,19:45
,16-Mar-23,05:15,13:00,16:45,18:12,19:45
,17-Mar-23,05:15,13:00,16:45,18:14,20:00
,18-Mar-23,05:15,13:00,16:45,18:16,20:00
,19-Mar-23,05:00,13:00,17:00,18:17,20:00
,20-Mar-23,05:00,13:00,17:00,18:19,20:00
,21-Mar-23,05:00,13:00,17:00,18:21,20:00
,22-Mar-23,05:00,13:00,17:00,18:23,20:15
,23-Mar-23,04:47,13:00,17:00,18:36,20:15
,24-Mar-23,04:45,13:00,17:00,18:38,20:15
,25-Mar-23,04:42,13:00,17:00,18:40,20:15
,26-Mar-23,05:50,13:30,18:00,19:41,21:15
,27-Mar-23,05:38,13:30,18:00,19:43,21:15
,28-Mar-23,05:36,13:30,18:00,19:45,21:15
,29-Mar-23,05:33,13:30,18:00,19:46,21:15
,30-Mar-23,05:31,13:30,18:00,19:48,21:15
,31-Mar-23,05:29,13:30,18:15,19:50,21:15
