Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:30,13:30,19:15,20:55,22:15
,02-Aug-23,04:45,13:30,19:00,20:54,22:15
,03-Aug-23,04:45,13:30,19:00,20:52,22:00
,04-Aug-23,04:45,13:30,19:00,20:50,22:00
,05-Aug-23,04:45,13:30,19:00,20:48,22:00
,06-Aug-23,04:45,13:30,19:00,20:47,22:00
,07-Aug-23,04:45,13:30,19:00,20:45,22:00
,08-Aug-23,04:45,13:30,19:00,20:43,22:00
,09-Aug-23,04:45,13:30,18:45,20:41,22:00
,10-Aug-23,04:45,13:30,18:45,20:39,22:00
,11-Aug-23,04:45,13:30,18:45,20:37,22:00
,12-Aug-23,04:45,13:30,18:45,20:35,22:00
,13-Aug-23,04:45,13:30,18:45,20:33,22:00
,14-Aug-23,04:45,13:30,18:45,20:31,22:00
,15-Aug-23,04:45,13:30,18:45,20:29,22:00
,16-Aug-23,05:00,13:30,18:30,20:29,21:45
,17-Aug-23,05:00,13:30,18:30,20:27,21:45
,18-Aug-23,05:00,13:30,18:30,20:25,21:45
,19-Aug-23,05:00,13:30,18:30,20:23,21:45
,20-Aug-23,05:00,13:30,18:30,20:21,21:45
,21-Aug-23,05:00,13:30,18:30,20:19,21:45
,22-Aug-23,05:00,13:30,18:30,20:17,21:45
,23-Aug-23,05:15,13:30,18:15,20:13,21:30
,24-Aug-23,05:15,13:30,18:15,20:11,21:30
,25-Aug-23,05:15,13:30,18:15,20:09,21:30
,26-Aug-23,05:15,13:30,18:15,20:07,21:30
,27-Aug-23,05:15,13:30,18:15,20:04,21:30
,28-Aug-23,05:15,13:30,18:15,20:02,21:30
,29-Aug-23,05:15,13:30,18:15,20:00,21:30
,30-Aug-23,05:30,13:30,18:00,19:58,21:15
,31-Aug-23,05:31,13:30,18:00,19:55,21:15
