Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-18,06:45,13:15,15:45,16:52,19:30
,02-Feb-18,06:45,13:15,15:45,16:53,19:30
,03-Feb-18,06:45,13:15,15:45,16:55,19:30
,04-Feb-18,06:45,13:15,15:45,16:57,19:30
,05-Feb-18,06:45,13:15,15:45,16:59,19:30
,06-Feb-18,06:45,13:15,15:45,17:01,19:30
,07-Feb-18,06:45,13:15,15:45,17:02,19:30
,08-Feb-18,06:45,13:15,15:45,17:04,19:30
,09-Feb-18,06:45,13:15,15:45,17:06,19:30
,10-Feb-18,06:45,13:15,15:45,17:08,19:30
,11-Feb-18,06:45,13:15,15:45,17:10,19:30
,12-Feb-18,06:30,13:15,16:00,17:12,19:30
,13-Feb-18,06:30,13:15,16:00,17:13,19:30
,14-Feb-18,06:30,13:15,16:00,17:15,19:30
,15-Feb-18,06:30,13:15,16:00,17:17,19:30
,16-Feb-18,06:30,13:15,16:00,17:19,19:30
,17-Feb-18,06:30,13:15,16:00,17:21,19:30
,18-Feb-18,06:30,13:15,16:00,17:23,19:30
,19-Feb-18,06:15,13:15,16:15,17:24,19:30
,20-Feb-18,06:15,13:15,16:15,17:26,19:30
,21-Feb-18,06:15,13:15,16:15,17:28,19:30
,22-Feb-18,06:15,13:15,16:15,17:30,19:30
,23-Feb-18,06:15,13:15,16:15,17:32,19:30
,24-Feb-18,06:15,13:15,16:15,17:33,19:30
,25-Feb-18,06:15,13:15,16:15,17:35,19:30
,26-Feb-18,06:00,13:15,16:15,17:37,19:45
,27-Feb-18,06:00,13:15,16:15,17:39,19:45
,28-Feb-18,06:00,13:15,16:15,17:41,19:45
