Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-23,06:18,13:00,14:30,16:05,19:30
,02-Dec-23,06:20,12:45,14:30,16:05,19:30
,03-Dec-23,06:21,12:45,14:30,16:04,19:30
,04-Dec-23,06:23,12:45,14:30,16:04,19:30
,05-Dec-23,06:24,12:45,14:30,16:03,19:30
,06-Dec-23,06:25,12:45,14:30,16:03,19:30
,07-Dec-23,06:26,12:45,14:30,16:02,19:30
,08-Dec-23,06:27,13:00,14:30,16:02,19:30
,09-Dec-23,06:29,12:45,14:30,16:02,19:30
,10-Dec-23,06:30,12:45,14:30,16:02,19:30
,11-Dec-23,06:31,12:45,14:30,16:02,19:30
,12-Dec-23,06:32,12:45,14:30,16:02,19:30
,13-Dec-23,06:33,12:45,14:30,16:01,19:30
,14-Dec-23,06:34,12:45,14:30,16:02,19:30
,15-Dec-23,06:35,13:00,14:30,16:02,19:30
,16-Dec-23,06:36,12:45,14:30,16:02,19:30
,17-Dec-23,06:37,12:45,14:30,16:02,19:30
,18-Dec-23,06:38,12:45,14:30,16:02,19:30
,19-Dec-23,06:39,12:45,14:30,16:03,19:30
,20-Dec-23,06:40,12:45,14:30,16:03,19:30
,21-Dec-23,06:41,12:45,14:30,16:03,19:30
,22-Dec-23,06:41,13:00,14:30,16:04,19:30
,23-Dec-23,06:42,12:45,14:30,16:05,19:30
,24-Dec-23,06:42,12:45,14:30,16:05,19:30
,25-Dec-23,06:42,12:45,14:30,16:06,19:30
,26-Dec-23,06:45,12:45,14:30,16:06,19:30
,27-Dec-23,06:45,12:45,14:30,16:07,19:30
,28-Dec-23,06:45,12:45,14:30,16:08,19:30
,29-Dec-23,06:46,13:00,14:30,16:09,19:30
,30-Dec-23,06:46,12:45,14:30,16:10,19:30
,31-Dec-23,06:46,12:45,14:30,16:11,19:30
