Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha,,,,,,
,01-Mar-23,05:30,13:00,16:15,17:50,19:45,,,,,,
,02-Mar-23,05:30,13:00,16:15,17:52,19:45,,,,,,
,03-Mar-23,05:30,13:00,16:15,17:53,19:45,,,,,,
,04-Mar-23,05:30,13:00,16:15,17:55,19:45,,,,,,
,05-Mar-23,05:30,13:00,16:15,17:57,19:45,,,,,,
,06-Mar-23,05:30,13:00,16:15,17:59,19:45,,,,,,
,07-Mar-23,05:30,13:00,16:15,18:00,19:45,,,,,,
,08-Mar-23,05:15,13:00,16:30,18:02,19:45,,,,,,
,09-Mar-23,05:15,13:00,16:30,18:04,19:45,,,,,,
,10-Mar-23,05:15,13:00,16:30,18:06,19:45,,,,,,
,11-Mar-23,05:15,13:00,16:30,18:07,19:45,,,,,,
,12-Mar-23,05:15,13:00,16:30,18:09,19:45,,,,,,
,13-Mar-23,05:15,13:00,16:30,18:11,19:45,,,,,,
,14-Mar-23,05:15,13:00,16:30,18:12,19:45,,,,,,
,15-Mar-23,05:00,13:00,16:45,18:14,20:00,,,,,,
,16-Mar-23,05:00,13:00,16:45,18:16,20:00,,,,,,
,17-Mar-23,05:00,13:00,16:45,18:18,20:00,,,,,,
,18-Mar-23,05:00,13:00,16:45,18:19,20:00,,,,,,
,19-Mar-23,05:00,13:00,16:45,18:21,20:00,,,,,,
,20-Mar-23,05:00,13:00,16:45,18:23,20:00,,,,,,
,21-Mar-23,05:00,13:00,16:45,18:24,20:00,,,,,,
,22-Mar-23,05:00,13:00,16:45,18:26,20:15,,,,,,
,23-Mar-23,04:39,13:00,16:45,18:34,20:15,,,,,,
,24-Mar-23,04:36,13:00,16:45,18:35,20:15,,,,,,
,25-Mar-23,04:34,13:00,16:45,18:37,20:15,,,,,,
,26-Mar-23,05:33,13:30,17:45,19:39,21:15,,,,,,
,27-Mar-23,05:31,13:30,17:45,19:40,21:15,,,,,,
,28-Mar-23,05:29,13:30,17:45,19:42,21:15,,,,,,
,29-Mar-23,05:27,13:30,17:45,19:44,21:15,,,,,,
,30-Mar-23,05:25,13:30,17:45,19:45,21:15,,,,,,
,31-Mar-23,05:24,13:30,17:45,19:47,21:15,,,,,,
