Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:30,13:30,19:00,20:56,22:15
,02-Aug-22,04:30,13:30,19:00,20:55,22:15
,03-Aug-22,04:30,13:30,19:00,20:53,22:15
,04-Aug-22,04:30,13:30,19:00,20:51,22:15
,05-Aug-22,04:30,13:25,19:00,20:50,22:15
,06-Aug-22,04:30,13:30,19:00,20:48,22:15
,07-Aug-22,04:30,13:30,19:00,20:46,22:15
,08-Aug-22,04:45,13:30,18:45,20:44,22:00
,09-Aug-22,04:45,13:30,18:45,20:42,22:00
,10-Aug-22,04:45,13:30,18:45,20:40,22:00
,11-Aug-22,04:45,13:30,18:45,20:39,22:00
,12-Aug-22,04:45,13:25,18:45,20:37,22:00
,13-Aug-22,04:45,13:30,18:45,20:35,22:00
,14-Aug-22,04:45,13:30,18:45,20:33,22:00
,15-Aug-22,05:00,13:30,18:30,20:31,21:45
,16-Aug-22,05:00,13:30,18:30,20:29,21:45
,17-Aug-22,05:00,13:30,18:30,20:27,21:45
,18-Aug-22,05:00,13:30,18:30,20:25,21:45
,19-Aug-22,05:00,13:25,18:30,20:23,21:45
,20-Aug-22,05:00,13:30,18:30,20:21,21:45
,21-Aug-22,05:00,13:30,18:30,20:18,21:45
,22-Aug-22,05:15,13:30,18:30,20:16,21:30
,23-Aug-22,05:15,13:30,18:15,20:14,21:30
,24-Aug-22,05:15,13:30,18:15,20:12,21:30
,25-Aug-22,05:15,13:30,18:15,20:10,21:30
,26-Aug-22,05:15,13:25,18:15,20:08,21:30
,27-Aug-22,05:15,13:30,18:15,20:07,21:30
,28-Aug-22,05:15,13:30,18:15,20:03,21:30
,29-Aug-22,05:15,13:30,18:15,20:01,21:30
,30-Aug-22,05:15,13:30,18:15,19:59,21:30
,31-Aug-22,05:15,13:30,18:15,19:57,21:30
