Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:15,13:30,17:00,18:47,20:30
,02-Oct-23,06:15,13:30,17:00,18:45,20:30
,03-Oct-23,06:15,13:30,17:00,18:43,20:30
,04-Oct-23,06:15,13:30,17:00,18:41,20:30
,05-Oct-23,06:15,13:30,17:00,18:38,20:30
,06-Oct-23,06:15,13:30,17:00,18:36,20:30
,07-Oct-23,06:15,13:30,17:00,18:34,20:30
,08-Oct-23,06:15,13:30,16:45,18:32,20:15
,09-Oct-23,06:15,13:30,16:45,18:29,20:15
,10-Oct-23,06:15,13:30,16:45,18:27,20:15
,11-Oct-23,06:15,13:30,16:45,18:25,20:15
,12-Oct-23,06:15,13:30,16:45,18:23,20:15
,13-Oct-23,06:15,13:30,16:45,18:21,20:15
,14-Oct-23,06:15,13:30,16:45,18:18,20:15
,15-Oct-23,06:30,13:30,16:30,18:16,20:00
,16-Oct-23,06:30,13:30,16:30,18:14,20:00
,17-Oct-23,06:30,13:30,16:30,18:12,20:00
,18-Oct-23,06:30,13:30,16:30,18:10,20:00
,19-Oct-23,06:30,13:30,16:30,18:08,20:00
,20-Oct-23,06:30,13:30,16:30,18:06,20:00
,21-Oct-23,06:30,13:30,16:30,18:04,20:00
,22-Oct-23,06:45,13:30,16:15,18:02,20:00
,23-Oct-23,06:45,13:30,16:15,18:00,20:00
,24-Oct-23,06:45,13:30,16:15,17:58,20:00
,25-Oct-23,06:45,13:30,16:15,17:56,20:00
,26-Oct-23,06:45,13:30,16:15,17:54,20:00
,27-Oct-23,06:45,13:30,16:15,17:52,20:00
,28-Oct-23,06:45,13:30,16:15,17:50,20:00
,29-Oct-23,05:45,13:00,15:15,16:48,19:30
,30-Oct-23,05:45,13:00,15:15,16:46,19:30
,31-Oct-23,05:45,13:00,15:15,16:44,19:30
