Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:30,18:40,20:15
,02-Oct-22,06:15,13:30,17:30,18:38,20:15
,03-Oct-22,06:30,13:30,17:15,18:36,20:15
,04-Oct-22,06:30,13:30,17:15,18:34,20:15
,05-Oct-22,06:30,13:30,17:15,18:31,20:15
,06-Oct-22,06:30,13:30,17:15,18:29,20:15
,07-Oct-22,06:30,13:30,17:15,18:27,20:15
,08-Oct-22,06:30,13:30,17:15,18:25,20:15
,09-Oct-22,06:30,13:30,17:15,18:23,20:00
,10-Oct-22,06:30,13:30,16:45,18:20,20:00
,11-Oct-22,06:30,13:30,16:45,18:18,20:00
,12-Oct-22,06:45,13:30,16:45,18:16,20:00
,13-Oct-22,06:45,13:30,16:45,18:14,20:00
,14-Oct-22,06:45,13:30,16:45,18:12,20:00
,15-Oct-22,06:45,13:30,16:45,18:09,20:00
,16-Oct-22,06:45,13:30,16:45,18:07,20:00
,17-Oct-22,06:45,13:30,16:30,18:05,19:45
,18-Oct-22,06:45,13:30,16:30,18:03,19:45
,19-Oct-22,06:45,13:30,16:30,18:01,19:45
,20-Oct-22,07:00,13:30,16:30,17:59,19:45
,21-Oct-22,07:00,13:30,16:30,17:57,19:45
,22-Oct-22,07:00,13:30,16:30,17:55,19:45
,23-Oct-22,07:00,13:30,16:30,17:53,19:45
,24-Oct-22,07:00,13:30,16:30,17:51,19:45
,25-Oct-22,07:00,13:30,16:15,17:49,19:45
,26-Oct-22,07:00,13:30,16:15,17:47,19:45
,27-Oct-22,07:00,13:30,16:15,17:45,19:45
,28-Oct-22,07:00,13:30,16:15,17:43,19:45
,29-Oct-22,07:00,13:30,16:15,17:41,19:45
,30-Oct-22,06:15,13:00,15:15,16:39,19:45
,31-Oct-22,06:15,13:00,15:15,16:38,19:15
