Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-22,04:15,13:30,19:15,21:24,22:55
,02-Jul-22,04:15,13:30,19:15,21:23,22:55
,03-Jul-22,04:15,13:30,19:15,21:23,22:55
,04-Jul-22,04:15,13:30,19:15,21:22,22:55
,05-Jul-22,04:15,13:30,19:15,21:22,22:55
,06-Jul-22,04:15,13:30,19:15,21:21,22:55
,07-Jul-22,04:15,13:30,19:15,21:21,22:55
,08-Jul-22,04:15,13:30,19:15,21:20,22:55
,09-Jul-22,04:15,13:30,19:15,21:19,22:45
,10-Jul-22,04:15,13:30,19:15,21:19,22:45
,11-Jul-22,04:15,13:30,19:15,21:18,22:45
,12-Jul-22,04:15,13:30,19:15,21:17,22:45
,13-Jul-22,04:15,13:30,19:15,21:16,22:45
,14-Jul-22,04:15,13:30,19:15,21:15,22:45
,15-Jul-22,04:15,13:30,19:15,21:14,22:45
,16-Jul-22,04:30,13:30,19:15,21:13,22:45
,17-Jul-22,04:30,13:30,19:15,21:12,22:45
,18-Jul-22,04:30,13:30,19:15,21:11,22:45
,19-Jul-22,04:30,13:30,19:15,21:10,22:45
,20-Jul-22,04:30,13:30,19:15,21:08,22:30
,21-Jul-22,04:30,13:30,19:15,21:07,22:30
,22-Jul-22,04:30,13:30,19:15,21:06,22:30
,23-Jul-22,04:30,13:30,19:15,21:04,22:30
,24-Jul-22,04:30,13:30,19:15,21:03,22:30
,25-Jul-22,04:30,13:30,19:15,21:02,22:30
,26-Jul-22,04:30,13:30,19:15,21:00,22:30
,27-Jul-22,04:30,13:30,19:15,20:59,22:30
,28-Jul-22,04:45,13:30,19:15,20:57,22:30
,29-Jul-22,04:45,13:30,19:15,20:56,22:30
,30-Jul-22,04:45,13:30,19:15,20:54,22:30
,31-Jul-22,04:45,13:30,19:15,20:52,22:30
