Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-23,03:30,13:30,18:45,21:17,22:45
,02-Jun-23,03:20,13:30,19:00,21:18,22:50
,03-Jun-23,03:20,13:30,19:00,21:19,22:50
,04-Jun-23,03:20,13:30,19:00,21:20,22:50
,05-Jun-23,03:20,13:30,19:00,21:21,22:50
,06-Jun-23,03:20,13:30,19:00,21:22,22:50
,07-Jun-23,03:20,13:30,19:00,21:23,22:50
,08-Jun-23,03:20,13:30,19:00,21:24,22:50
,09-Jun-23,03:10,13:30,19:00,21:24,22:50
,10-Jun-23,03:10,13:30,19:00,21:25,22:50
,11-Jun-23,03:10,13:30,19:00,21:26,22:50
,12-Jun-23,03:10,13:30,19:00,21:26,22:50
,13-Jun-23,03:10,13:30,19:00,21:27,22:50
,14-Jun-23,03:10,13:30,19:00,21:28,22:50
,15-Jun-23,03:10,13:30,19:00,21:28,22:50
,16-Jun-23,03:10,13:30,19:00,21:28,22:55
,17-Jun-23,03:10,13:30,19:00,21:29,22:55
,18-Jun-23,03:10,13:30,19:00,21:29,22:55
,19-Jun-23,03:10,13:30,19:00,21:29,22:55
,20-Jun-23,03:10,13:30,19:00,21:29,22:55
,21-Jun-23,03:10,13:30,19:00,21:30,22:55
,22-Jun-23,03:10,13:30,19:00,21:30,22:55
,23-Jun-23,03:15,13:30,19:00,21:30,22:55
,24-Jun-23,03:15,13:30,19:00,21:30,22:55
,25-Jun-23,03:15,13:30,19:00,21:30,22:55
,26-Jun-23,03:15,13:30,19:00,21:30,22:55
,27-Jun-23,03:15,13:30,19:00,21:30,22:55
,28-Jun-23,03:15,13:30,19:00,21:29,22:55
,29-Jun-23,03:15,13:30,19:00,21:29,22:55
,30-Jun-23,03:20,13:30,19:00,21:29,22:50
