Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:16,13:30,18:00,19:42,21:30
,02-Apr-22,05:14,13:30,18:00,19:53,21:30
,03-Apr-22,05:12,13:30,18:00,19:55,21:30
,04-Apr-22,05:10,13:30,18:00,19:57,21:30
,05-Apr-22,05:07,13:30,18:00,19:59,21:30
,06-Apr-22,05:05,13:30,18:00,20:00,21:30
,07-Apr-22,05:03,13:30,18:00,20:02,21:30
,08-Apr-22,05:01,13:30,18:00,20:04,21:30
,09-Apr-22,04:58,13:30,18:00,20:05,21:30
,10-Apr-22,04:56,13:30,18:00,20:07,21:30
,11-Apr-22,04:54,13:30,18:00,20:09,21:45
,12-Apr-22,04:52,13:30,18:00,20:10,21:45
,13-Apr-22,04:50,13:30,18:00,20:12,21:45
,14-Apr-22,04:47,13:30,18:00,20:14,21:45
,15-Apr-22,04:45,13:30,18:00,20:15,21:45
,16-Apr-22,04:43,13:30,18:15,20:17,21:45
,17-Apr-22,04:41,13:30,18:15,20:19,21:45
,18-Apr-22,04:38,13:30,18:15,20:20,21:45
,19-Apr-22,04:36,13:30,18:15,20:22,21:45
,20-Apr-22,04:34,13:30,18:15,20:24,21:45
,21-Apr-22,04:31,13:30,18:15,20:25,22:00
,22-Apr-22,04:29,13:30,18:15,20:27,22:00
,23-Apr-22,04:26,13:30,18:15,20:29,22:00
,24-Apr-22,04:23,13:30,18:15,20:30,22:00
,25-Apr-22,04:21,13:30,18:15,20:32,22:00
,26-Apr-22,04:19,13:30,18:15,20:34,22:00
,27-Apr-22,04:16,13:30,18:15,20:35,22:00
,28-Apr-22,04:15,13:30,18:15,20:37,22:00
,29-Apr-22,04:13,13:30,18:15,20:39,22:00
,30-Apr-22,04:10,13:30,19:15,20:40,22:00
