Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:30,13:30,19:15,20:59,22:15
,02-Aug-23,04:30,13:30,19:15,20:58,22:15
,03-Aug-23,04:30,13:30,19:15,21:56,22:15
,04-Aug-23,04:45,13:30,19:00,20:54,22:00
,05-Aug-23,04:45,13:30,19:00,20:53,22:00
,06-Aug-23,04:45,13:30,19:00,20:51,22:00
,07-Aug-23,04:45,13:30,19:00,20:49,22:00
,08-Aug-23,04:45,13:30,19:00,20:47,22:00
,09-Aug-23,04:45,13:30,19:00,20:46,22:00
,10-Aug-23,04:45,13:30,19:00,20:44,22:00
,11-Aug-23,04:45,13:30,19:00,20:42,22:00
,12-Aug-23,04:45,13:30,19:00,20:40,22:00
,13-Aug-23,04:45,13:30,19:00,20:38,22:00
,14-Aug-23,04:45,13:30,19:00,20:36,22:00
,15-Aug-23,04:45,13:30,19:00,20:34,22:00
,16-Aug-23,04:45,13:30,19:00,20:32,22:00
,17-Aug-23,04:45,13:30,19:00,20:30,22:00
,18-Aug-23,05:00,13:30,18:45,20:28,21:45
,19-Aug-23,05:00,13:30,18:45,20:26,21:45
,20-Aug-23,05:00,13:30,18:45,20:24,21:45
,21-Aug-23,05:00,13:30,18:45,20:22,21:45
,22-Aug-23,05:00,13:30,18:45,20:20,21:45
,23-Aug-23,05:00,13:30,18:45,20:18,21:45
,24-Aug-23,05:00,13:30,18:45,20:16,21:45
,25-Aug-23,05:15,13:30,18:45,20:14,21:30
,26-Aug-23,05:15,13:30,18:45,20:11,21:30
,27-Aug-23,05:15,13:30,18:45,20:09,21:30
,28-Aug-23,05:15,13:30,18:45,20:07,21:30
,29-Aug-23,05:15,13:30,18:45,20:05,21:30
,30-Aug-23,05:15,13:30,18:45,20:03,21:30
,31-Aug-23,05:15,13:30,18:45,20:01,21:30
