Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-22,07:03,13:00,14:45,16:03,19:30
,02-Dec-22,07:04,12:30,14:45,16:02,19:30
,03-Dec-22,07:06,13:00,14:45,16:02,19:30
,04-Dec-22,07:07,13:00,14:30,16:01,19:30
,05-Dec-22,07:08,13:00,14:30,16:01,19:30
,06-Dec-22,07:09,13:00,14:30,16:00,19:30
,07-Dec-22,07:11,13:00,14:30,16:00,19:30
,08-Dec-22,07:12,13:00,14:30,16:00,19:30
,09-Dec-22,07:13,12:30,14:30,15:59,19:30
,10-Dec-22,07:14,13:00,14:30,15:59,19:30
,11-Dec-22,07:15,13:00,14:30,15:59,19:30
,12-Dec-22,07:16,13:00,14:30,15:59,19:30
,13-Dec-22,07:17,13:00,14:30,15:59,19:30
,14-Dec-22,07:18,13:00,14:30,15:59,19:30
,15-Dec-22,07:19,13:00,14:30,15:59,19:30
,16-Dec-22,07:20,12:30,14:30,15:59,19:30
,17-Dec-22,07:20,13:00,14:30,15:59,19:30
,18-Dec-22,07:21,13:00,14:30,16:00,19:30
,19-Dec-22,07:22,13:00,14:30,16:00,19:30
,20-Dec-22,07:22,13:00,14:30,16:00,19:30
,21-Dec-22,07:23,13:00,14:30,16:01,19:30
,22-Dec-22,07:24,13:00,14:30,16:01,19:30
,23-Dec-22,07:24,12:30,14:30,16:02,19:30
,24-Dec-22,07:24,13:00,14:30,16:02,19:30
,25-Dec-22,07:25,13:00,14:30,16:03,19:30
,26-Dec-22,07:25,13:00,14:30,16:04,19:30
,27-Dec-22,07:25,13:00,14:30,16:04,19:30
,28-Dec-22,07:26,13:00,14:30,16:05,19:30
,29-Dec-22,07:26,13:00,14:30,16:06,19:30
,30-Dec-22,07:26,12:30,14:30,16:07,19:30
,31-Dec-22,07:26,13:00,14:30,16:08,19:30
