Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-22,04:09,13:30,19:15,21:15,22:45
,02-Jun-22,04:08,13:30,19:15,21:16,22:45
,03-Jun-22,04:07,13:30,19:15,21:17,22:45
,04-Jun-22,04:07,13:30,19:15,21:18,22:45
,05-Jun-22,04:06,13:30,19:15,21:19,22:45
,06-Jun-22,04:05,13:30,19:15,21:20,22:45
,07-Jun-22,04:05,13:30,19:15,21:21,22:45
,08-Jun-22,04:04,13:30,19:15,21:22,22:45
,09-Jun-22,04:04,13:30,19:15,21:23,22:45
,10-Jun-22,04:03,13:30,19:15,21:23,22:45
,11-Jun-22,04:03,13:30,19:15,21:24,22:45
,12-Jun-22,04:03,13:30,19:15,21:25,22:50
,13-Jun-22,04:03,13:30,19:15,21:25,22:50
,14-Jun-22,04:02,13:30,19:15,21:26,22:50
,15-Jun-22,04:02,13:30,19:15,21:27,22:50
,16-Jun-22,04:02,13:30,19:15,21:27,22:50
,17-Jun-22,04:02,13:30,19:15,21:28,22:50
,18-Jun-22,04:02,13:30,19:15,21:28,22:50
,19-Jun-22,04:02,13:30,19:15,21:28,22:50
,20-Jun-22,04:02,13:30,19:15,21:29,22:50
,21-Jun-22,04:03,13:30,19:15,21:29,22:50
,22-Jun-22,04:03,13:30,19:15,21:29,22:50
,23-Jun-22,04:03,13:30,19:15,21:29,22:50
,24-Jun-22,04:03,13:30,19:15,21:29,22:50
,25-Jun-22,04:04,13:30,19:15,21:29,22:50
,26-Jun-22,04:04,13:30,19:15,21:29,22:50
,27-Jun-22,04:05,13:30,19:15,21:29,22:50
,28-Jun-22,04:05,13:30,19:15,21:29,22:50
,29-Jun-22,04:06,13:30,19:15,21:29,22:50
,30-Jun-22,04:06,13:30,19:15,21:29,22:50
