Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:30,13:00,15:45,16:56,19:30
,02-Feb-22,06:30,13:00,15:45,16:58,19:30
,03-Feb-22,06:30,13:00,15:45,17:00,19:30
,04-Feb-22,06:30,13:00,15:45,17:01,19:30
,05-Feb-22,06:15,13:00,15:45,17:03,19:30
,06-Feb-22,06:15,13:00,15:45,17:05,19:30
,07-Feb-22,06:15,13:00,15:45,17:07,19:30
,08-Feb-22,06:15,13:00,15:45,17:09,19:30
,09-Feb-22,06:15,13:00,15:45,17:11,19:30
,10-Feb-22,06:15,13:00,15:45,17:12,19:30
,11-Feb-22,06:15,13:00,15:45,17:14,19:30
,12-Feb-22,06:00,13:00,16:00,17:16,19:30
,13-Feb-22,06:00,13:00,16:00,17:18,19:30
,14-Feb-22,06:00,13:00,16:00,17:20,19:30
,15-Feb-22,06:00,13:00,16:00,17:22,19:30
,16-Feb-22,06:00,13:00,16:00,17:23,19:30
,17-Feb-22,06:00,13:00,16:00,17:25,19:30
,18-Feb-22,06:00,13:00,16:00,17:27,19:30
,19-Feb-22,05:45,13:00,16:15,17:29,19:30
,20-Feb-22,05:45,13:00,16:15,17:31,19:30
,21-Feb-22,05:45,13:00,16:15,17:32,19:30
,22-Feb-22,05:45,13:00,16:15,17:34,19:30
,23-Feb-22,05:45,13:00,16:15,17:36,19:30
,24-Feb-22,05:45,13:00,16:15,17:38,19:30
,25-Feb-22,05:45,13:00,16:15,17:40,19:30
,26-Feb-22,05:30,13:00,16:30,17:41,19:45
,27-Feb-22,05:30,13:00,16:30,17:43,19:45
,28-Feb-22,05:30,13:00,16:30,17:45,19:45
