Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:20,13:30,17:00,18:45,20:15
,02-Oct-23,06:20,13:30,17:00,18:43,20:15
,03-Oct-23,06:20,13:30,17:00,18:41,20:15
,04-Oct-23,06:20,13:30,17:00,18:38,20:15
,05-Oct-23,06:30,13:30,17:00,18:36,20:15
,06-Oct-23,06:30,13:30,17:00,18:34,20:00
,07-Oct-23,06:30,13:30,17:00,18:32,20:00
,08-Oct-23,06:30,13:30,16:45,18:29,20:00
,09-Oct-23,06:30,13:30,16:45,18:27,20:00
,10-Oct-23,06:30,13:30,16:45,18:25,20:00
,11-Oct-23,06:40,13:30,16:45,18:23,20:00
,12-Oct-23,06:40,13:30,16:45,18:21,20:00
,13-Oct-23,06:40,13:30,16:45,18:18,19:45
,14-Oct-23,06:40,13:30,16:45,18:16,19:45
,15-Oct-23,06:40,13:30,16:45,18:14,19:45
,16-Oct-23,06:50,13:30,16:30,18:12,19:45
,17-Oct-23,06:50,13:30,16:30,18:10,19:45
,18-Oct-23,06:50,13:30,16:30,18:08,19:45
,19-Oct-23,06:50,13:30,16:30,18:06,19:45
,20-Oct-23,06:50,13:30,16:30,18:04,19:45
,21-Oct-23,06:50,13:30,16:30,18:02,19:45
,22-Oct-23,07:00,13:30,16:30,17:59,19:45
,23-Oct-23,07:00,13:30,16:30,17:57,19:45
,24-Oct-23,07:00,13:30,16:30,17:55,19:45
,25-Oct-23,07:00,13:30,16:30,17:53,19:45
,26-Oct-23,07:00,13:30,16:30,17:52,19:45
,27-Oct-23,07:00,13:30,16:30,17:50,19:45
,28-Oct-23,07:00,13:30,16:30,17:48,19:45
,29-Oct-23,06:10,13:00,15:15,16:46,19:45
,30-Oct-23,06:10,13:00,15:15,16:44,19:45
,31-Oct-23,06:10,13:00,15:15,16:42,19:45
