Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:07,13:30,18:30,20:42,22:00
,02-May-22,04:05,13:30,18:30,20:43,22:30
,03-May-22,04:15,13:30,18:30,20:35,22:30
,04-May-22,04:15,13:30,18:30,20:37,22:30
,05-May-22,04:15,13:30,18:30,20:38,22:30
,06-May-22,04:15,13:30,18:30,20:40,22:30
,07-May-22,04:15,13:30,18:30,20:42,22:30
,08-May-22,04:15,13:30,18:30,20:43,22:30
,09-May-22,04:15,13:30,18:30,20:45,22:30
,10-May-22,04:15,13:30,18:30,20:46,22:30
,11-May-22,04:15,13:30,18:30,20:48,22:30
,12-May-22,04:15,13:30,18:30,20:49,22:30
,13-May-22,04:15,13:30,18:30,20:51,22:30
,14-May-22,04:15,13:30,18:30,20:52,22:30
,15-May-22,04:15,13:30,18:30,20:54,22:30
,16-May-22,04:00,13:30,19:15,20:55,22:30
,17-May-22,04:00,13:30,19:15,20:57,22:30
,18-May-22,04:00,13:30,19:15,20:58,22:30
,19-May-22,04:00,13:30,19:15,21:00,22:30
,20-May-22,04:00,13:30,19:15,21:01,22:30
,21-May-22,04:00,13:30,19:15,21:03,22:30
,22-May-22,04:00,13:30,19:15,21:04,22:30
,23-May-22,04:00,13:30,19:15,21:05,22:45
,24-May-22,04:00,13:30,19:15,21:07,22:45
,25-May-22,04:00,13:30,19:15,21:08,22:45
,26-May-22,04:00,13:30,19:15,21:09,22:45
,27-May-22,04:00,13:30,19:15,21:11,22:45
,28-May-22,04:00,13:30,19:15,21:12,22:45
,29-May-22,04:00,13:30,19:15,21:13,22:45
,30-May-22,03:30,13:30,19:15,21:14,22:45
,31-May-22,03:30,13:30,19:15,21:15,22:45
