Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,03:45,13:30,19:30,21:29,22:55
,02-Jul-23,03:45,13:30,19:30,21:29,22:55
,03-Jul-23,03:45,13:30,19:30,21:28,22:55
,04-Jul-23,03:45,13:30,19:30,21:28,22:55
,05-Jul-23,03:45,13:30,19:30,21:27,22:55
,06-Jul-23,03:45,13:30,19:30,21:27,22:55
,07-Jul-23,03:45,13:30,19:30,21:26,22:55
,08-Jul-23,04:00,13:30,19:30,21:26,22:50
,09-Jul-23,04:00,13:30,19:30,21:25,22:50
,10-Jul-23,04:00,13:30,19:30,21:24,22:50
,11-Jul-23,04:00,13:30,19:30,21:23,22:50
,12-Jul-23,04:00,13:30,19:30,21:23,22:50
,13-Jul-23,04:00,13:30,19:30,21:22,22:50
,14-Jul-23,04:00,13:30,19:30,21:21,22:50
,15-Jul-23,04:15,13:30,19:30,21:20,22:45
,16-Jul-23,04:15,13:30,19:30,21:19,22:45
,17-Jul-23,04:15,13:30,19:30,21:18,22:45
,18-Jul-23,04:15,13:30,19:30,21:17,22:45
,19-Jul-23,04:15,13:30,19:30,21:16,22:45
,20-Jul-23,04:15,13:30,19:30,21:14,22:45
,21-Jul-23,04:15,13:30,19:30,21:13,22:45
,22-Jul-23,04:30,13:30,19:30,21:12,22:45
,23-Jul-23,04:30,13:30,19:30,21:11,22:45
,24-Jul-23,04:30,13:30,19:30,21:09,22:45
,25-Jul-23,04:30,13:30,19:30,21:08,22:45
,26-Jul-23,04:30,13:30,19:30,21:06,22:45
,27-Jul-23,04:30,13:30,19:30,21:05,22:45
,28-Jul-23,04:30,13:30,19:30,21:03,22:45
,29-Jul-23,04:45,13:30,19:15,21:02,22:30
,30-Jul-23,04:45,13:30,19:15,21:00,22:30
,31-Jul-23,04:45,13:30,19:15,20:59,22:30
