Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-22,03:32,13:30,18:45,21:16,22:45
,02-Jun-22,03:31,13:30,18:45,21:17,22:45
,03-Jun-22,03:30,13:30,18:45,21:18,22:45
,04-Jun-22,03:28,13:30,18:45,21:19,22:45
,05-Jun-22,03:27,13:30,18:45,21:20,22:45
,06-Jun-22,03:26,13:30,18:45,21:21,22:45
,07-Jun-22,03:25,13:30,19:00,21:22,22:50
,08-Jun-22,03:24,13:30,19:00,21:23,22:50
,09-Jun-22,03:23,13:30,19:00,21:24,22:50
,10-Jun-22,03:22,13:30,19:00,21:25,22:50
,11-Jun-22,03:22,13:30,19:00,21:25,22:50
,12-Jun-22,03:20,13:30,19:00,21:26,22:50
,13-Jun-22,03:19,13:30,19:00,21:27,22:55
,14-Jun-22,03:19,13:30,19:00,21:27,22:55
,15-Jun-22,03:19,13:30,19:00,21:28,22:55
,16-Jun-22,03:19,13:30,19:00,21:28,22:55
,17-Jun-22,03:19,13:30,19:00,21:28,22:55
,18-Jun-22,03:19,13:30,19:00,21:29,22:55
,19-Jun-22,03:19,13:30,19:00,21:29,22:55
,20-Jun-22,03:20,13:30,19:00,21:29,22:55
,21-Jun-22,03:20,13:30,19:00,21:30,22:55
,22-Jun-22,03:20,13:30,19:00,21:30,22:55
,23-Jun-22,03:22,13:30,19:00,21:30,22:55
,24-Jun-22,03:22,13:30,19:00,21:30,22:50
,25-Jun-22,03:22,13:30,19:00,21:30,22:50
,26-Jun-22,03:24,13:30,19:00,21:30,22:50
,27-Jun-22,03:24,13:30,19:00,21:30,22:50
,28-Jun-22,03:26,13:30,19:00,21:30,22:50
,29-Jun-22,03:26,13:30,19:00,21:30,22:50
,30-Jun-22,03:27,13:30,19:00,21:29,22:50
