Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-22,04:05,13:30,19:30,21:29,22:55
,02-Jul-22,04:05,13:30,19:30,21:29,22:55
,03-Jul-22,04:06,13:30,19:30,21:28,22:55
,04-Jul-22,04:07,13:30,19:30,21:28,22:55
,05-Jul-22,04:08,13:30,19:30,21:27,22:55
,06-Jul-22,04:09,13:30,19:30,21:27,22:55
,07-Jul-22,04:10,13:30,19:30,21:26,22:55
,08-Jul-22,04:11,13:30,19:30,21:26,22:55
,09-Jul-22,04:11,13:30,19:30,21:25,22:55
,10-Jul-22,04:12,13:30,19:30,21:24,22:55
,11-Jul-22,04:14,13:30,19:30,21:23,22:55
,12-Jul-22,04:15,13:30,19:30,21:22,22:55
,13-Jul-22,04:16,13:30,19:30,21:22,22:55
,14-Jul-22,04:17,13:30,19:30,21:21,22:55
,15-Jul-22,04:18,13:30,19:30,21:20,22:55
,16-Jul-22,04:19,13:30,19:30,21:19,22:45
,17-Jul-22,04:20,13:30,19:30,21:17,22:45
,18-Jul-22,04:22,13:30,19:30,21:16,22:45
,19-Jul-22,04:23,13:30,19:30,21:15,22:45
,20-Jul-22,04:24,13:30,19:30,21:14,22:45
,21-Jul-22,04:26,13:30,19:30,21:13,22:45
,22-Jul-22,04:27,13:30,19:30,21:12,22:45
,23-Jul-22,04:28,13:30,19:00,21:10,22:45
,24-Jul-22,04:30,13:30,19:30,21:09,22:30
,25-Jul-22,04:31,13:30,19:30,21:07,22:30
,26-Jul-22,04:32,13:30,19:30,21:06,22:30
,27-Jul-22,04:34,13:30,19:30,21:05,22:30
,28-Jul-22,04:35,13:30,19:30,21:03,22:30
,29-Jul-22,04:37,13:30,19:30,21:02,22:30
,30-Jul-22,04:38,13:30,19:30,21:00,22:15
,31-Jul-22,04:40,13:30,19:30,20:58,22:15
