Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-22,04:06,13:30,19:15,21:16,22:40
,02-Jun-22,04:06,13:30,19:15,21:17,22:40
,03-Jun-22,04:05,13:30,19:15,21:18,22:40
,04-Jun-22,04:04,13:30,19:15,21:19,22:50
,05-Jun-22,04:03,13:30,19:15,21:20,22:50
,06-Jun-22,04:03,13:30,19:15,21:21,22:50
,07-Jun-22,04:02,13:30,19:15,21:22,22:50
,08-Jun-22,04:02,13:30,19:15,21:23,22:50
,09-Jun-22,04:01,13:30,19:15,21:24,22:50
,10-Jun-22,04:01,13:30,19:15,21:25,22:50
,11-Jun-22,04:01,13:30,19:15,21:25,22:55
,12-Jun-22,04:00,13:30,19:15,21:26,22:55
,13-Jun-22,04:00,13:30,19:15,21:27,22:55
,14-Jun-22,04:00,13:30,19:15,21:27,22:55
,15-Jun-22,04:00,13:30,19:15,21:28,22:55
,16-Jun-22,04:00,13:30,19:15,21:28,22:55
,17-Jun-22,04:00,13:30,19:15,21:28,22:55
,18-Jun-22,04:00,13:30,19:30,21:29,22:55
,19-Jun-22,04:00,13:30,19:30,21:29,22:55
,20-Jun-22,04:00,13:30,19:30,21:29,22:55
,21-Jun-22,04:00,13:30,19:30,21:30,22:55
,22-Jun-22,04:00,13:30,19:30,21:30,22:55
,23-Jun-22,04:01,13:30,19:30,21:30,22:55
,24-Jun-22,04:01,13:30,19:30,21:30,22:55
,25-Jun-22,04:01,13:30,19:30,21:30,22:55
,26-Jun-22,04:02,13:30,19:30,21:30,22:55
,27-Jun-22,04:02,13:30,19:30,21:30,22:55
,28-Jun-22,04:03,13:30,19:30,21:30,22:55
,29-Jun-22,04:03,13:30,19:30,21:30,22:55
,30-Jun-22,04:04,13:30,19:30,21:29,22:55
