Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,05:45,13:00,16:30,17:50,19:30
,02-Mar-23,05:45,13:00,16:30,17:51,19:30
,03-Mar-23,05:45,12:40,16:30,17:53,19:30
,04-Mar-23,05:45,13:00,16:30,17:55,19:30
,05-Mar-23,05:30,13:00,16:30,17:57,19:45
,06-Mar-23,05:30,13:00,16:30,17:59,19:45
,07-Mar-23,05:30,13:00,16:30,18:01,19:45
,08-Mar-23,05:30,13:00,16:30,18:02,19:45
,09-Mar-23,05:30,13:00,16:30,18:04,19:45
,10-Mar-23,05:30,12:40,16:30,18:06,19:45
,11-Mar-23,05:15,13:00,16:30,18:07,19:45
,12-Mar-23,05:15,13:00,16:30,18:09,19:45
,13-Mar-23,05:15,13:00,16:30,18:11,19:45
,14-Mar-23,05:15,13:00,16:30,18:13,19:45
,15-Mar-23,05:15,13:00,16:30,18:14,19:45
,16-Mar-23,05:15,13:00,16:30,18:16,19:45
,17-Mar-23,05:15,12:40,16:30,18:18,19:45
,18-Mar-23,05:00,13:00,16:45,18:19,19:45
,19-Mar-23,05:00,13:00,16:45,18:21,20:00
,20-Mar-23,05:00,13:00,16:45,18:23,20:00
,21-Mar-23,05:00,13:00,16:45,18:25,20:00
,22-Mar-23,05:00,13:00,16:45,18:26,20:00
,23-Mar-23,04:38,13:00,16:45,18:37,20:00
,24-Mar-23,04:36,12:40,16:45,18:39,20:00
,25-Mar-23,04:34,13:00,16:45,18:40,20:00
,26-Mar-23,05:32,13:30,18:00,19:42,21:15
,27-Mar-23,05:30,13:30,18:00,19:44,21:15
,28-Mar-23,05:29,13:30,18:00,19:35,21:15
,29-Mar-23,05:26,13:30,18:00,19:47,21:15
,30-Mar-23,05:24,13:30,18:00,19:49,21:15
,31-Mar-23,05:23,13:20,18:00,19:50,21:15
