Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:45,13:30,19:15,20:56,22:15
,02-Aug-22,04:45,13:30,19:15,20:54,22:15
,03-Aug-22,04:45,13:30,19:15,20:53,22:15
,04-Aug-22,04:45,13:30,19:15,20:51,22:15
,05-Aug-22,04:45,13:30,19:15,20:49,22:15
,06-Aug-22,04:45,13:30,19:15,20:48,22:15
,07-Aug-22,04:45,13:30,19:15,20:46,22:15
,08-Aug-22,05:00,13:30,19:00,20:44,22:15
,09-Aug-22,05:00,13:30,19:00,20:42,22:15
,10-Aug-22,05:00,13:30,19:00,20:40,22:15
,11-Aug-22,05:00,13:30,19:00,20:38,22:15
,12-Aug-22,05:00,13:30,19:00,20:36,22:15
,13-Aug-22,05:00,13:30,19:00,20:35,22:15
,14-Aug-22,05:00,13:30,19:00,20:33,22:15
,15-Aug-22,05:00,13:30,18:45,20:31,22:00
,16-Aug-22,05:00,13:30,18:45,20:29,22:00
,17-Aug-22,05:00,13:30,18:45,20:27,22:00
,18-Aug-22,05:00,13:30,18:45,20:25,22:00
,19-Aug-22,05:00,13:30,18:45,20:22,22:00
,20-Aug-22,05:00,13:30,18:45,20:20,22:00
,21-Aug-22,05:00,13:30,18:45,20:18,22:00
,22-Aug-22,05:15,13:30,18:30,20:16,21:45
,23-Aug-22,05:15,13:30,18:30,20:14,21:45
,24-Aug-22,05:15,13:30,18:30,20:12,21:45
,25-Aug-22,05:15,13:30,18:30,20:10,21:45
,26-Aug-22,05:15,13:30,18:30,20:08,21:45
,27-Aug-22,05:15,13:30,18:30,20:06,21:45
,28-Aug-22,05:15,13:30,18:30,20:03,21:45
,29-Aug-22,05:30,13:30,18:15,20:01,21:30
,30-Aug-22,05:30,13:30,18:15,19:59,21:30
,31-Aug-22,05:30,13:30,18:15,19:57,21:30
